"","Breakpoint","Estimated_Point","estimated_point_std_error","number_schools","numer_period","outcome"
"56",0.16735,-0.150023224471382,0.074664027014112,3232,10,"AGRONOMY_VETERINARY_RELATED"
"57",0.27825,-0.0309094561089391,0.0309037199599282,7089,10,"AGRONOMY_VETERINARY_RELATED"
"58",0.38915,-0.0122033193571792,0.0203120939563795,8536,10,"AGRONOMY_VETERINARY_RELATED"
"59",0.50005,-0.0193844556240199,0.0186132524527515,9062,10,"AGRONOMY_VETERINARY_RELATED"
"60",0.61095,0.0389707900497978,0.0248078285813785,8338,10,"AGRONOMY_VETERINARY_RELATED"
"61",0.72185,0.0173541855485145,0.0426995398750939,6125,10,"AGRONOMY_VETERINARY_RELATED"
"62",0.83275,-0.0304633849998567,0.0971218081948997,2489,10,"AGRONOMY_VETERINARY_RELATED"
"63",0.9436,0.0843042104087561,0.242124077203933,622,10,"AGRONOMY_VETERINARY_RELATED"
"64",999,0.451185164702307,0.00758061158463855,12120,10,"EDUCATION_SCIENCES"
"65",0.05645,0.441445485948283,0.172356469630824,834,10,"EDUCATION_SCIENCES"
"66",0.16735,0.637166381305523,0.0585414532090425,3232,10,"EDUCATION_SCIENCES"
"67",0.27825,0.541295202706529,0.0249779898150196,7089,10,"EDUCATION_SCIENCES"
"68",0.38915,0.542053220587615,0.0156735611311002,8536,10,"EDUCATION_SCIENCES"
"69",0.50005,0.547902871085848,0.0140163844285995,9062,10,"EDUCATION_SCIENCES"
"70",0.61095,0.561371599352109,0.0188730515243481,8338,10,"EDUCATION_SCIENCES"
"71",0.72185,0.657464719445086,0.033228127730659,6125,10,"EDUCATION_SCIENCES"
"72",0.83275,0.534296459292818,0.0731698804390054,2489,10,"EDUCATION_SCIENCES"
"73",0.9436,0.196027827055773,0.191049783861749,622,10,"EDUCATION_SCIENCES"
"74",999,0.805594457562263,0.00690463467835468,12120,10,"HEALTH_SCIENCES"
"75",0.05645,0.688705921735194,0.145016114921345,834,10,"HEALTH_SCIENCES"
"76",0.16735,0.867662109319989,0.0540415256764604,3232,10,"HEALTH_SCIENCES"
"77",0.27825,0.92617836868325,0.0234140462197495,7089,10,"HEALTH_SCIENCES"
"78",0.38915,0.934484105884587,0.0144920243957162,8536,10,"HEALTH_SCIENCES"
"79",0.50005,0.963942209530832,0.0128772974657276,9062,10,"HEALTH_SCIENCES"
"80",0.61095,0.960215984951502,0.016953785354483,8338,10,"HEALTH_SCIENCES"
"81",0.72185,1.01102526939739,0.0285338884476374,6125,10,"HEALTH_SCIENCES"
"82",0.83275,1.04573559497111,0.0596667969417454,2489,10,"HEALTH_SCIENCES"
"83",0.9436,1.01234770852263,0.146489898203273,622,10,"HEALTH_SCIENCES"
